f_location,latitude,longitude,location
"SAN EMILIO RHU,BRGY. CABAROAN, SAN EMILIO, ILOCOS SUR,Philippines",17.2427519,120.5797128,"Cabaroan (Pob.), San Emilio, Ilocos Sur, Philippines"
"SAN ESTEBAN RHU,RECLUSADO ST., BRGY. SAN RAFAEL, SAN ESTEBAN, ILOCOS SUR,Philippines",17.3311657,120.4473612,"8CJW+FW9, San Esteban, Ilocos Sur, Philippines"
"SAN ILDEFONSO RHU,BRGY. POBLACION EAST, SAN ILDEFONSO, ILOCOS SUR,Philippines",17.623733,120.394161,"San Ildefonso, San Ildefonso, Ilocos Sur, Philippines"
"SAN JUAN RHU,BRGY. LIRA, SAN JUAN, ILOCOS SUR,Philippines",17.7418012,120.4559076,"San Juan, Ilocos Sur, Philippines"
"SAN VICENTE RHU,BRGY. POBLACION, SAN VICENTE, ILOCOS SUR,Philippines",17.5927813,120.3751237,"Bantay - San Vicente Rd, San Vicente, Ilocos Sur, Philippines"
"SANTA RHU,QUIRINO DIST., SANTA, ILOCOS SUR,Philippines",17.5135816,120.447285,"Santa, Ilocos Sur, Philippines"
"SANTA CATALINA RHU,BRGY. POBLACION, SANTA CATALINA, ILOCOS SUR,Philippines",17.5875232,120.3622866,"Poblacion, Santa Catalina, Ilocos Sur, Philippines"
"SANTA CRUZ,RIZAL ST., BRGY. POBLACION WESTE, SANTA CRUZ, ILOCOS SUR,Philippines",17.0845032,120.4490852,"Poblacion Weste, Santa Cruz, Ilocos Sur, Philippines"
"SANTA LUCIA RHU,BRGY. ANGKILENG, SANTA LUCIA, ILOCOS SUR,Philippines",17.115825,120.4485,"Santa Lucia, Santa Lucia, Ilocos Sur, Philippines"
"SANTA MARIA RHU,BRGY. POBLACION SUR, SANTA MARIA, ILOCOS SUR,Philippines",17.3637661,120.4771364,"9F7G+GV2, Santa Maria, Ilocos Sur, Philippines"
"SANTIAGO RHU,BRGY. POBLACION NORTE, SANTIAGO, ILOCOS SUR,Philippines",17.2983858,120.4484859,"Poblacion Norte, Santiago, Ilocos Sur, Philippines"
"SANTO DOMINGO RHU,BRGY. SAN PABLO, SANTO DOMINGO, ILOCOS SUR,Philippines",17.6446171,120.4242401,"Santo Domingo, Ilocos Sur, Philippines"
"SIGAY RHU,BRGY. POBLACION, SIGAY, ILOCOS SUR,Philippines",17.03398,120.5969758,"Sigay, Ilocos Sur, Philippines"
"SINAIT RHU,BRGY. MACABIAG, SINAIT, ILOCOS SUR,Philippines",17.8612922,120.4516055,"Macabiag (Pob.), Sinait, Ilocos Sur, Philippines"
"SUGPON RHU,BAGUITAN ST., BRGY. BALBALAYANG, SUGPON, ILOCOS SUR,Philippines",16.851119,120.5221524,"Balbalayang (Pob.), Ilocos Sur, Philippines"
