f_location,latitude,longitude,location
"108 Oliver Plunkett Street, Cork City, Cork, T12 E6CX,Ireland",51.8979993,-8.4707188,"108 Oliver Plunkett St, Centre, Cork, T12 E6CX, Ireland"
"Emmet Place, Kinsale, Cork, P17 PX67,Ireland",51.7053491,-8.5227583,"Emmet Pl, Town-Plots, Kinsale, Co. Cork, Ireland"
"The Square, Mill Street, Cork, P51 E026,Ireland",52.0602579,-9.0601828,"The Square, Liscahane, Co. Cork, Ireland"
"Tesco Shopping Centre, Brigown, Mitchelstown, Cork, P67 YY32,Ireland",52.26349,-8.2688957,"Unit 3, Tesco Shopping Centre, Unit 4, Brigown, Mitchelstown, Co. Cork, Ireland"
"West End, Boherbue, Cork, P51 FRW0,Ireland",52.1587954,-9.071244799999999,"Gneeves, Co. Cork, P51 FRW0, Ireland"
"Botherbue, Laheran East, Mallow, Cork, P51 FRW0,Ireland",52.1582386,-9.0684828,"Gneeves, Boherbue, Co. Cork, Ireland"
"Riversdale Shopping Centre, Mill Road, Midleton, Cork, P25 TN71,Ireland",51.9176022,-8.1753073,"Riversdale Shopping Centre, Mill Rd., Townparks, Midleton, Co. Cork, Ireland"
"4 Pearse Square, Ballyphenane, Cork, T12 W56R,Ireland",51.8833616,-8.4825172,"4 Pearse Square, Ballyphehane, Cork, T12 W56R, Ireland"
"Ballea Road, Carrigaline West, Carrigaline, Cork, P43 P861,Ireland",51.8177698,-8.4083355,"Ballea Rd, Carrigaline West, Co. Cork, Ireland"
"2 Oakfield Lawn, Ballinlough Road, Ballinlough, Cork, T12 Y3EC,Ireland",51.8896123,-8.4447646,"2 Oakfield Lawn, Ballinlough, Cork, T12 X6TP, Ireland"
"25 Bank Place, Mallow, Cork,Ireland",52.137614,-8.6466935,"25 Bank Pl, Mallow, Co. Cork, P51 EV2C, Ireland"
"79 Main Street, Midleton, Cork, P25 VY10,Ireland",51.913871,-8.1726478,"79 Main St, Townparks, Midleton, Co. Cork, P25 PY99, Ireland"
"Main Street, Kilmoney, Carrigaline, Cork, P43 HW57,Ireland",51.8129635,-8.3924452,"Main St, Carrigaline, Co. Cork, Ireland"
"1 Baker's Road, Gurranabraher, Cork, T23 P957,Ireland",51.902068,-8.494153299999999,"1 Baker's Rd, Gurranabraher, Cork, T23 W8ER, Ireland"
"Kinsale Road Commercial Centre, Cork, Cork, T12 E4HF,Ireland",51.8747267,-8.4716428,"Kinsale Road Commercial Centre, Kinsale Rd, Ballyphehane, Cork, T12 P934, Ireland"
"11-13 Grand Parade, Cork City, Cork,Ireland",51.898248,-8.4752901,"11 Grand Parade, Centre, Cork, T12 V528, Ireland"
"25 Earlwood Estate, The Lough, Cork,Ireland",51.8842242,-8.4876834,"25 Earlwood Estate, The Lough, Cork, T12 Y9AK, Ireland"
"48 North Main Street, Cork City, Cork, T12 R286,Ireland",51.89893739999999,-8.477554699999999,"48 N Main St, Centre, Cork, T12 R286, Ireland"
"Main Street, Millstreet, Cork, P51 PN52,Ireland",52.0601636,-9.0622493,"Liscahane, Co. Cork, P51 PN52, Ireland"
"West Square, Townlands, Rosscarbery, Cork, P85 A076,Ireland",51.577296,-9.0331744,"West Square, Townlands, Co. Cork, Ireland"
"West Square, Rosscarbery, Cork,Ireland",51.577296,-9.0331744,"West Square, Townlands, Co. Cork, Ireland"
"Main Street, Derrigra, Ballineen, Cork, P47 V228,Ireland",51.7367519,-8.9392286,"Main St, Co. Cork, Ireland"
"1 McCurtain Street, Fermoy, Cork, P61 RW01,Ireland",52.13787749999999,-8.2759029,"1 McCurtain St, Fermoy, Co. Cork, Ireland"
"Main Street, Kildorrery, Cork, P67 VK66,Ireland",52.246387,-8.425456,"Oldcastletown, Co. Cork, P67 VK66, Ireland"
"15 Patrick Street, Rath-Healy, Fermoy, Cork, P61WR88,Ireland",52.1379897,-8.2742994,"15 Patrick St, Fermoy, Co. Cork, P61 WR88, Ireland"
"50 Main Street, Midleton, Cork, P25 H6W6,Ireland",51.9133266,-8.1717582,"50 Main St, Townparks, Midleton, Co. Cork, P25 H6W6, Ireland"
"149 North Main Street, Youghal Lands, Youghal, Cork, P36 F982,Ireland",51.9562803,-7.850862500000001,"149 N Main St, Youghal-Lands, Youghal, Co. Cork, P36 F982, Ireland"
"The Diamond, Ardara, Donegal, F94 CX60,Ireland",54.7622119,-8.4127619,"Drumbaran, Ardara, Co. Donegal, Ireland"
"The Diamond, Donegal, Donegal, F94 Y5NX,Ireland",54.6539662,-8.1113509,"The Diamond, Donegal, F94 AP8W, Ireland"
