f_location,latitude,longitude,location
"Anglesea Medical Complex - Gate 2, 9 Thackeray Street, Hamilton,NewZealand",-37.7921903,175.2823968,"2/9 Thackeray Street, Hamilton Central, Hamilton 3204, New Zealand"
"Unichem Kilbirnie Pharmacy, 37 Bay Road, Kilbirnie, Wellington,NewZealand",-41.3189946,174.7950448,"37 Bay Road, Kilbirnie, Wellington 6022, New Zealand"
"Westgate Shopping Centre, 1-5 Fernhill Drive, Westgate, Auckland,NewZealand",-36.8213672,174.6123723,"Fred Taylor Drive, Westgate, Auckland 0657, New Zealand"
"19 Girven Road, Bayfair,NewZealand",-37.6750439,176.2238002,"19 Girven Road, Mount Maunganui 3116, New Zealand"
"Westcity Waitakere, 7 Catherine Street, Henderson, Auckland,NewZealand",-36.8809739,174.6327652,"7 Catherine Street, Henderson, Auckland 0612, New Zealand"
"149 Kirkbride Road, M¨¡ngere, Auckland,NewZealand",-36.9701721,174.7853086,"149 Kirkbride Road, Māngere, Auckland 2022, New Zealand"
"Cnr Tristram Street and Rostrevor Street, Hamilton Central, Hamilton,NewZealand",-37.7825574,175.2757888,"Rostrevor Street, Hamilton Central, Hamilton 3204, New Zealand"
"27-35 Queen St, Warkworth,NewZealand",-36.3976205,174.6642742,"Level 1/35 Queen Street, Warkworth 0910, New Zealand"
"723 Fergusson Drive, Elderslea, Upper Hutt,NewZealand",-41.125481,175.0583454,"723 Fergusson Drive, Elderslea, Upper Hutt 5018, New Zealand"
"Cnr Rees Street & The Mall, Queenstown, Otago,NewZealand",-45.0321347,168.659528,"Rees Street, Queenstown 9300, New Zealand"
"Te Rito, Whanganui Hospital Gate One, 100 Heads Road, Whanganui,NewZealand",-39.9440257,175.0377248,"100 Heads Road, Gonville, Whanganui 4501, New Zealand"
"372 Rosedale Road, Rosedale, Auckland,NewZealand",-36.7428801,174.695998,"372 Rosedale Road, Rosedale, Auckland 0632, New Zealand"
"Totara Health, 1 McCrae Way, New Lynn, Auckland,NewZealand",-36.9087783,174.6839328,"1 McCrae Way, New Lynn, Auckland 0600, New Zealand"
"435 Khyber Pass Road, Auckland,NewZealand",-36.86728280000001,174.7757205,"435 Khyber Pass Road, Newmarket, Auckland 1023, New Zealand"
"1b Ngawaka Lane, One Tree Point,NewZealand",-35.8394589,174.4660953,"1B Ngawaka Lane, One Tree Point 0118, New Zealand"
"Botany Town Centre, 588 Chapel Road, East T¨¡maki, Auckland,NewZealand",-36.9334926,174.9133753,"588 Chapel Road, East Tāmaki, Auckland 2016, New Zealand"
"St Lukes Westfield Centre, 80 St Lukes Road, Mt Albert, Auckland,NewZealand",-36.8828849,174.7331998,"80 Saint Lukes Road, Mount Albert, Auckland 1025, New Zealand"
"125 High Street, Motueka,NewZealand",-41.1103661,173.0113923,"125 High Street, Motueka 7120, New Zealand"
"43-45 Pine Drive, Murupara,NewZealand",-38.4568752,176.7048253,"43 Pine Drive, Murupara 3025, New Zealand"
"Palmerston North Central Vaccination Centre, 38 Fitzherbert Avenue, Palmerston North,NewZealand",-40.3581297,175.612414,"38 Fitzherbert Avenue, Palmerston North Central, Palmerston North 4410, New Zealand"
"31A Bartley Terrace, Devonport, Auckland,NewZealand",-36.8298147,174.7960947,"31A Bartley Terrace, Devonport, Auckland 0624, New Zealand"
"1913 Cambridge Road, Cambridge,NewZealand",-37.8892421,175.4538553,"1913 Cambridge Road, Cambridge 3434, New Zealand"
"30 Walters Road, Takanini,NewZealand",-37.0483615,174.9321823,"30 Walters Road, Takanini 2112, New Zealand"
"3 Filly Place, Yaldhurst, Christchurch,NewZealand",-43.51896139999999,172.5253203,"3 Filly Place, Yaldhurst, Christchurch 8042, New Zealand"
"Poutiri Wellness Centre (PWC) 35 Commerce Lane, Te Puke,NewZealand",-37.7842547,176.3283958,"35 Commerce Lane, Te Puke 3119, New Zealand"
"Not found address,NewZealand",-40.900557,174.885971,New Zealand
"58 Willis Street, Wellington Central, Wellington,NewZealand",-41.2876888,174.7753656,"58 Willis Street, Wellington Central, Wellington 6011, New Zealand"
"1007 Heaphy Terrace, Fairfield, Hamilton,NewZealand",-37.7715692,175.2825904,"1007 Heaphy Terrace, Fairfield, Hamilton 3214, New Zealand"
"17 Adelaide Road, Mount Cook, Wellington,NewZealand",-41.30194119999999,174.7797809,"17 Adelaide Road, Mount Cook, Wellington 6021, New Zealand"
"92 Spey Street, Invercargill,NewZealand",-46.4095427,168.3482666,"92 Spey Street, Invercargill 9810, New Zealand"
"52 St Lukes Road, Mount Albert, Auckland,NewZealand",-36.8817722,174.7315319,"52 Saint Lukes Road, Mount Albert, Auckland 1025, New Zealand"
"651 Whangaparaoa Road, Stanmore Bay, Whangapar¨¡oa,NewZealand",-36.6348998,174.7395956,"651 Whangaparaoa Road, Stanmore Bay, Whangaparāoa 0932, New Zealand"
"3/226 Great South Road, Takanini,NewZealand",-37.0480459,174.9276171,"3/226 Great South Road, Takanini 2112, New Zealand"
"17 Rust Avenue, Whang¨¡rei,NewZealand",-35.7230098,174.3168939,"17 Rust Avenue, Whangārei 0110, New Zealand"
"1248 Dominion Road, Mount Roskill, Auckland,NewZealand",-36.9034431,174.7423297,"1248 Dominion Road, Mount Roskill, Auckland 1041, New Zealand"
"192 Universal Drive, Henderson, Auckland,NewZealand",-36.8561558,174.6289979,"192 Universal Drive, Henderson, Auckland 0610, New Zealand"
"175 Queen Street, Auckland Central, Auckland,NewZealand",-36.8480901,174.7653699,"175 Queen Street, Auckland CBD, Auckland 1010, New Zealand"
"10 Aylesbury Street, Pakuranga, Auckland,NewZealand",-36.91331350000001,174.8712569,"10 Aylesbury Street, Pakuranga, Auckland 2010, New Zealand"
"4 Colombo Road, Lansdowne, Masterton,NewZealand",-40.9493859,175.6744286,"4 Colombo Road, Lansdowne, Masterton 5810, New Zealand"
"162 High Street, Motueka,NewZealand",-41.1112591,173.0108257,"162 High Street, Motueka 7120, New Zealand"
"1365 Victoria Street, Beerescourt, Hamilton,NewZealand",-37.7699935,175.2634956,"1365 Victoria Street, Beerescourt, Hamilton 3200, New Zealand"
"296A Dominion Road, Mount Eden, Auckland,NewZealand",-36.878001,174.7512623,"296A Dominion Road, Mount Eden, Auckland 1024, New Zealand"
"137 Queens Road, Panmure, Auckland,NewZealand",-36.9003755,174.8555229,"137 Queens Road, Panmure, Auckland 1072, New Zealand"
"Sylvia Park Shopping Centre, 286 Mt Wellington Highway, Mt Wellington, Auckland,NewZealand",-36.9172406,174.8418425,"286 Mount Wellington Highway, Mount Wellington, Auckland 1060, New Zealand"
"33 Victoria Road, Devonport, Auckland,NewZealand",-36.8310738,174.7971905,"33 Victoria Road, Devonport, Auckland 0624, New Zealand"
"266 Queen Street, Masterton,NewZealand",-40.9519942,175.6579941,"266 Queen Street, Masterton 5810, New Zealand"
"eastMED, 188 St Heliers Bay Road, St Heliers, Auckland,NewZealand",-36.8621032,174.8588257,"188 Saint Heliers Bay Road, St Heliers, Auckland 1071, New Zealand"
"2 Tarawera Court, Islington Street, Kawerau,NewZealand",-38.0860001,176.701246,"Islington St &, Plunket Street, Kawerau 3127, New Zealand"
"262 East Street, Ashburton,NewZealand",-43.90483039999999,171.7474485,"262 East Street, Ashburton 7700, New Zealand"
"148 Whites Line East, Waiwhetu, Lower Hutt,NewZealand",-41.2241135,174.921464,"148 Whites Line East, Waiwhetu, Lower Hutt 5010, New Zealand"
"11 Paerata Road, Pukekohe, Auckland,NewZealand",-37.1902522,174.9034214,"11 Paerata Road, Pukekohe 2120, New Zealand"
"382 Manukau Road, Epsom,NewZealand",-36.8923289,174.7748721,"382 Manukau Road, Epsom, Auckland 1344, New Zealand"
"7A/359 Massey Road, M¨¡ngere East, Auckland,NewZealand",-36.9664559,174.8250674,"7a/359 Massey Road, Māngere East, Auckland 2024, New Zealand"
"16A Bakerfield Place, Manukau, Auckland,NewZealand",-36.9887463,174.8850881,"16A Bakerfield Place, Manukau City Centre, Auckland 2104, New Zealand"
"29 Hukanui Road, Fairfield, Hamilton,NewZealand",-37.7618489,175.2872994,"29 Hukanui Road, Fairfield, Hamilton 3214, New Zealand"
"213-215 Thames Street, ¨­amaru,NewZealand",-45.096075,170.9722491,"213/215 Thames Street, Oamaru Central, Oamaru 9400, New Zealand"
"1 Grenada Avenue, Forrest Hill, Auckland,NewZealand",-36.7604749,174.7465833,"1 Grenada Avenue, Forrest Hill, Auckland 0620, New Zealand"
"The Warehouse Building, 14 Redwood Street, Blenheim,NewZealand",-41.51481099999999,173.9601564,"14 Redwood Street, Blenheim Central, Blenheim 7201, New Zealand"
"Gardens Shopping Mall, 1 North Road, North East Valley, Dunedin,NewZealand",-45.8549613,170.5188206,"1 North Road, North East Valley, Dunedin 9010, New Zealand"
