f_location,latitude,longitude,location
"192-194 Hutt Street, ADELAIDE, SA 5000,Australia",-34.9319101,138.612697,"192-194 Hutt St, Adelaide SA 5000, Australia"
"43 - 51 Goodwood Road, WAYVILLE, SA 5034,Australia",-34.9465256,138.590372,"43/51 Goodwood Rd, Wayville SA 5034, Australia"
"160 Unley Road, UNLEY, SA 5061,Australia",-34.9489528,138.6069045,"160 Unley Rd, Unley SA 5061, Australia"
"160 Melbourne Street, NORTH ADELAIDE, SA 5006,Australia",-34.9076416,138.6060258,"160 Melbourne St, North Adelaide SA 5006, Australia"
"Shop 22, 81 O'connell Street, NORTH ADELAIDE, SA 5006,Australia",-34.9070492,138.595273,"Shop 22a/81 O'Connell St, North Adelaide SA 5006, Australia"
"204 Unley Road, UNLEY, SA 5061,Australia",-34.9506918,138.6060929,"204 Unley Rd, Unley SA 5061, Australia"
"26 Payneham Road, STEPNEY, SA 5069,Australia",-34.913983,138.6246881,"26 Payneham Rd, Stepney SA 5069, Australia"
"62 Dulwich Avenue, DULWICH, SA 5065,Australia",-34.9353837,138.6310236,"62 Dulwich Ave, Dulwich SA 5065, Australia"
"62-64 Maple Avenue, FORESTVILLE, SA 5035,Australia",-34.9477984,138.5785723,"62-64 Maple Ave, Forestville SA 5035, Australia"
"116 The Parade, NORWOOD, SA 5067,Australia",-34.9215446,138.6323683,"116 The Parade, Norwood SA 5067, Australia"
"Shop 7, 150 Glen Osmond Road, FULLARTON, SA 5063,Australia",-34.9479595,138.6259899,"7/150 Glen Osmond Rd, Fullarton SA 5063, Australia"
"Shop 4, 177 Glen Osmond Road, FREWVILLE, SA 5063,Australia",-34.9465575,138.6265079,"Unit 4/177 Glen Osmond Rd, Frewville SA 5063, Australia"
"67 Edward Street, NORWOOD, SA 5067,Australia",-34.9222337,138.6342086,"67 Edward St, Norwood SA 5067, Australia"
"Shop 12, 161-169 The Parade, NORWOOD, SA 5067,Australia",-34.9206529,138.6358222,"161/169 The Parade, Norwood SA 5067, Australia"
"Malvern 7 Day Centre, Shop 5, 291-293 Unley Road, MALVERN, SA 5061,Australia",-34.9593191,138.6086588,"5/291 Unley Rd, Malvern SA 5061, Australia"
"Hilton Plaza Shopping Centre, Shop 9-10, 160 Sir Donald Bradman Drive, HILTON, SA 5033,Australia",-34.9314296,138.5616042,"160 Sir Donald Bradman Dr, Hilton SA 5033, Australia"
"Brickworks Marketplace, Shop Key, 2 - 6 Ashwin Parade, TORRENSVILLE, SA 5031,Australia",-34.9137973,138.5640671,"Brickworks Market place, 2 Ashwin Parade, Torrensville SA 5031, Australia"
"202 Henley Beach Road, TORRENSVILLE, SA 5031,Australia",-34.9240057,138.5591009,"202 Henley Beach Rd, Torrensville SA 5031, Australia"
"Shop 10, 104 Walkerville Terrace, WALKERVILLE, SA 5081,Australia",-34.8959167,138.6170919,"Shop 10/104 Walkerville Terrace, Walkerville SA 5081, Australia"
"Burnside Village, Balcony Level Suite H, 447 Portrush Road, GLENSIDE, SA 5065,Australia",-34.9415811,138.6412374,"BURNSIDE VILLAGE, h/447 Portrush Rd, Glenside SA 5065, Australia"
"214 - 216 Portrush Road, TRINITY GARDENS, SA 5068,Australia",-34.9139632,138.6411061,"214-216 Portrush Rd, Trinity Gardens SA 5068, Australia"
"412 Portrush Road, LINDEN PARK, SA 5065,Australia",-34.9407125,138.6429018,"412 Portrush Rd, Linden Park SA 5065, Australia"
"297 Glen Osmond Road, GLENUNGA, SA 5064,Australia",-34.952253,138.6353939,"297 Glen Osmond Rd, Glenunga SA 5064, Australia"
"432 Fullarton Road, MYRTLE BANK, SA 5064,Australia",-34.9602685,138.626344,"432 Fullarton Rd, Myrtle Bank SA 5064, Australia"
"Shop 5-6, 350 Goodwood Road, CUMBERLAND PARK, SA 5041,Australia",-34.9666862,138.5903133,"Shop 5-6/350 Goodwood Rd, Cumberland Park SA 5041, Australia"
"Shop 7, 535 - 561 Portrush Road, GLENUNGA, SA 5064,Australia",-34.9486029,138.6429143,"Shop 7/535 Portrush Rd, Glenunga SA 5064, Australia"
"680 South Road, GLANDORE, SA 5037,Australia",-34.9610577,138.5722408,"680 South Rd, Glandore SA 5037, Australia"
