Vaccination_sites,Address,Latitude,Longitude
Masaka Hospital,"Alex Ssebowa, Masaka, Uganda",-0.3293044,31.7359321
Masindi Hospital,"MPM8+8CF, Masindi, Uganda",1.6833241,31.7160421
Masindi kitara Health Centre IV,"MPQ5+JPJ, Kijunjubwa Road, Masindi, Uganda",1.6890823,31.709251
Matany Hospital,"Moroto Diocese, Karamoja/c/o Comboni Missionaries, Box 3872, Kampala, Matany, Uganda",2.4433747,34.3941528
Mateete Health Centre  III,Uganda,-0.2117,31.4678
MAYUGE Health Centre  III,Uganda,-0.1454,33.5968
Mazinga Health Centre  III,Uganda,-0.4535,32.2417
Mbale Regional referral Hospital,"Mbale, Uganda",1.0925,34.1744
Mbarara  municipal Council Health Centre  IV,"Mbarara, Uganda",-0.6034,30.6654
Mbarara regional Referral Hospital,"Mbarara, Uganda",-0.6170591,30.6576625
Mengo Hospital,"7161 Cathedral Hill Rd, Kampala, Uganda",0.3125439,32.5589359
Metu Health Centre  III,"MQ9R+7Q6, Uganda",3.6681684,31.7918828
Minakulu Health Centre  III,"Minakulu, Uganda",2.4445177,32.380176
Mirambi Health Centre  III,Uganda,0.1,31.7333
Mitandi Health Centre  III,"Unnamed Road, Mitandi, Uganda",0.5998379,30.1478513
Mityana general hospital.,"Mityana, Uganda",0.4016398,32.043969
Morungatuny Health Centre III,"4GC5+F9C, Morungatuny, Uganda",2.1211963,33.5083866
Moyo General Hospital,"MP5H+64F, Moyo, Uganda",3.6580619,31.7277997
Mpara Health Centre   III,Uganda,0.4667,30.4833
Mparangasi Health Centre  lll,"Mparangasi, Uganda",1.4833333,31.4666672
Mparo Health Centre  IV,"PXXQ+MMV RWAMUCUCU, Kabale, Uganda",-1.2507541,29.9891782
Mpenja Health Centre  III,Uganda,0.235,32.05
Mpiigi Health Centre  IV,"Mpigi, Uganda",0.2273528,32.3249236
Mpumude Health Centre  III,"P786+XJ6, Kabula, Uganda",-0.2825904,31.2615269
Mubende Regional referral Hospital,"H9CR+XPX, Mubende, Uganda",0.5724768,31.3918612
Muko Health Centre  IV,Uganda,-1.2,29.8
Mukongoro Health Centre  III,"Mukongoro, Uganda",1.3333334,33.9000015
Mukono General Hospital,"A109, Mukono, Uganda",0.3599467,32.7474012
Mukuju,"Mukuju, Uganda",0.7483333,34.1866684
Mulanda,"Mulanda, Uganda",0.697172,34.00407
Mutara Health Centre  III,Uganda,-0.5799,30.0447
MUTERERE Health Centre  III,"Muterere, Uganda",0.4606929,33.7629465
Mutunda Health Centre  III,Uganda,2.1,32.3167
Muyembe Health Centre  IV,"67J9+V2V, Sironko, Uganda",1.2322486,34.2675322
Nabiganda Health Centre  IV,"Nabiganda, Uganda",0.9744,34.0587
Nabilatuk Health Centre  IV,Uganda,2.056,34.574
NABUKALU Health Centre  III,Uganda,0.6489,33.8108
Nabweru Health Centre  III,"Nabweru, Kampala, Uganda",0.3536983,32.5457592
Nadunget Health Centre  III,Uganda,2.4783,34.6049999
Nagongera,"Nagongera, Uganda",0.77578,34.01466
Nagwere Health Centre  III,Uganda,1.176,33.878
Nakapelmoru Health Centre  III,"Nakapelmoru, Uganda",3.0166667,34.2166667
Nakapiripirit Health Centre  III,"Nakapiripirit, Uganda",1.846,34.719
Nakaseke Hospital,"Kyangato, Uganda",0.7179502,32.3990032
